GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GreenThumb,com.greenthumb.app.exception,GlobalExceptionHandler,44,0,0,0,11,0,5,0,5,0
GreenThumb,com.greenthumb.app.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
GreenThumb,com.greenthumb.app.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
GreenThumb,com.greenthumb.app.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
GreenThumb,com.greenthumb.app.service,UserProfileService,133,0,16,0,26,0,14,0,6,0
GreenThumb,com.greenthumb.app.service,GardenService,20,89,1,3,1,21,4,7,3,6
GreenThumb,com.greenthumb.app.service,AuthService,9,122,2,6,2,30,2,6,0,4
GreenThumb,com.greenthumb.app.service,PlantService,54,102,12,6,13,26,11,4,2,4
GreenThumb,com.greenthumb.app.service,JwtService,0,97,1,3,0,23,1,11,0,10
GreenThumb,com.greenthumb.app.controller,GardenController,41,0,0,0,7,0,5,0,5,0
GreenThumb,com.greenthumb.app.controller,AuthController,0,18,0,0,0,3,0,3,0,3
GreenThumb,com.greenthumb.app.controller,UserProfileController,19,0,0,0,3,0,3,0,3,0
GreenThumb,com.greenthumb.app.controller,PlantController,0,34,0,0,0,9,0,4,0,4
GreenThumb,com.greenthumb.app.model.dto,RegisterRequest.RegisterRequestBuilder,36,0,0,0,1,0,6,0,6,0
GreenThumb,com.greenthumb.app.model.dto,CreateGardenRequest,81,0,14,0,4,0,15,0,8,0
GreenThumb,com.greenthumb.app.model.dto,AuthResponse.AuthResponseBuilder,6,21,0,0,0,1,1,4,1,4
GreenThumb,com.greenthumb.app.model.dto,UserProfileDto,300,0,54,0,10,0,46,0,19,0
GreenThumb,com.greenthumb.app.model.dto,UserProfileDto.UserProfileDtoBuilder,63,0,0,0,1,0,9,0,9,0
GreenThumb,com.greenthumb.app.model.dto,LoginRequest,102,26,22,0,1,5,16,6,5,6
GreenThumb,com.greenthumb.app.model.dto,AddPlantRequest,164,31,38,0,0,5,23,9,4,9
GreenThumb,com.greenthumb.app.model.dto,LoginRequest.LoginRequestBuilder,27,0,0,0,1,0,5,0,5,0
GreenThumb,com.greenthumb.app.model.dto,RegisterRequest,135,36,30,0,1,6,20,8,5,8
GreenThumb,com.greenthumb.app.model.dto,AuthResponse,109,19,22,0,2,4,18,4,7,4
GreenThumb,com.greenthumb.app,GreenThumbApplication,8,0,0,0,3,0,2,0,2,0
GreenThumb,com.greenthumb.app.model.entity,Plant.PlantBuilder,34,86,1,1,0,1,3,12,2,12
GreenThumb,com.greenthumb.app.model.entity,UserProfile.UserProfileBuilder,46,0,0,0,1,0,7,0,7,0
GreenThumb,com.greenthumb.app.model.entity,UserProfile,215,0,38,0,8,0,34,0,15,0
GreenThumb,com.greenthumb.app.model.entity,Garden.GardenBuilder,17,30,0,0,0,1,2,5,2,5
GreenThumb,com.greenthumb.app.model.entity,Tag.TagBuilder,47,0,2,0,1,0,7,0,6,0
GreenThumb,com.greenthumb.app.model.entity,User.UserBuilder,26,39,0,0,0,1,3,6,3,6
GreenThumb,com.greenthumb.app.model.entity,User,265,37,54,0,4,6,40,6,13,6
GreenThumb,com.greenthumb.app.model.entity,Garden,188,28,38,0,3,5,29,5,10,5
GreenThumb,com.greenthumb.app.model.entity,Plant,463,83,94,0,7,14,64,15,17,15
GreenThumb,com.greenthumb.app.model.entity,Tag,179,0,30,0,7,0,29,0,14,0
GreenThumb,com.greenthumb.app.config,WebConfig,86,0,0,0,11,0,3,0,3,0
GreenThumb,com.greenthumb.app.config,JwtInterceptor,1,70,2,12,1,18,2,7,0,2
GreenThumb,com.greenthumb.app.config,OpenApiConfig,17,0,0,0,6,0,2,0,2,0
GreenThumb,com.greenthumb.app.model.dto.trefle,TrefleListResponse,70,6,14,0,0,2,12,2,5,2
GreenThumb,com.greenthumb.app.model.dto.trefle,TreflePlantDto.MainSpecies,195,0,38,0,5,0,32,0,13,0
GreenThumb,com.greenthumb.app.model.dto.trefle,TrefleSingleResponse,66,10,14,0,0,2,11,3,4,3
GreenThumb,com.greenthumb.app.model.dto.trefle,TreflePlantDto,398,49,88,6,7,12,61,9,14,9
